,label_ko,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
0,유동자산,20221231,13594611188.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
1,비유동자산,20221231,18644222568.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
2,자산총계,20221231,32238833756.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
3,유동부채,20221231,27826686641.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
4,비유동부채,20221231,61019664.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
5,부채총계,20221231,27887706305.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
6,자본총계,20221231,4351127450.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
7,유동자산,20211231,15561896534.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
8,비유동자산,20211231,19735979638.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
9,자산총계,20211231,35297876172.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
10,유동부채,20211231,19748939890.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
11,비유동부채,20211231,2511312404.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
12,부채총계,20211231,22260252294.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
13,자본총계,20211231,13037623877.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
14,유동자산,20201231,20935817962.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
15,비유동자산,20201231,20852086736.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
16,자산총계,20201231,41787904698.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
17,유동부채,20201231,9801004814.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
18,비유동부채,20201231,10520000000.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
19,부채총계,20201231,20321004814.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
20,자본총계,20201231,21466899884.0,20230322001314,사업보고서 (2022.12),20230322,2023-03-22,8500,146542,일정실업
21,유동자산,20211231,18660557218.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
22,비유동자산,20211231,22684432759.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
23,자산총계,20211231,41344989977.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
24,유동부채,20211231,20274043376.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
25,비유동부채,20211231,2500000000.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
26,부채총계,20211231,22774043376.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
27,자본총계,20211231,18570946601.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
28,유동자산,20201231,22812972490.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
29,비유동자산,20201231,23955552818.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
30,자산총계,20201231,46768525308.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
31,유동부채,20201231,10746512013.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
32,비유동부채,20201231,10500000000.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
33,부채총계,20201231,21246512013.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
34,자본총계,20201231,25522013295.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
35,유동자산,20191231,31532799001.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
36,비유동자산,20191231,28986148240.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
37,자산총계,20191231,60518947241.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
38,유동부채,20191231,22967959582.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
39,비유동부채,20191231,8017330723.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
40,부채총계,20191231,30985290305.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
41,자본총계,20191231,29533656936.0,20220325001322,사업보고서 (2021.12),20220325,2022-03-25,8500,146542,일정실업
42,유동자산,20230630,11614595530.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
43,비유동자산,20230630,18244592740.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
44,자산총계,20230630,29859188270.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
45,유동부채,20230630,21916875762.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
46,비유동부채,20230630,5550000000.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
47,부채총계,20230630,27466875762.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
48,자본총계,20230630,2392312508.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
49,유동자산,20221231,13594611188.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
50,비유동자산,20221231,18644222568.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
51,자산총계,20221231,32238833756.0,20230814001535,반기보고서 (2023.06),20230814,2023-08-14,8500,146542,일정실업
